REGIÃO ;PAÍS;CONSUMO DE PETRÓLEO em mil barris por dia;ANO
Europa e Eurásia;Eslovênia;54,008363;2012
Europa e Eurásia;Espanha;1299,549216;2012
Europa e Eurásia;Estônia;31,546572;2012
Europa e Eurásia;Finlândia ;204,713299;2012
Europa e Eurásia;França;1673,399516;2012
Europa e Eurásia;Grécia ;321,147532;2012
Europa e Eurásia;Holanda;925,1756;2012
Europa e Eurásia;Hungria;142,806277;2012
Europa e Eurásia;Islândia;14,142022;2012
Europa e Eurásia;Irlanda;138,399147;2012
Europa e Eurásia;Itália;1384,11194;2012
Europa e Eurásia;Letônia;33,434436;2012
Europa e Eurásia;Lituânia;54,520689;2012
Europa e Eurásia;Luxemburgo;58,978816;2012
Europa e Eurásia;Macedônia;18,811541;2012
Europa e Eurásia;Noruega;226,163493;2012
Europa e Eurásia;Polônia;571,016781;2012
Europa e Eurásia;Portugal;231,208267;2012
Europa e Eurásia;Reino Unido;1546,01789;2012
Europa e Eurásia;República Tcheca;198,249464;2012
Europa e Eurásia;Romênia;190,871366;2012
Europa e Eurásia;Rússia;3119,340666;2012
Europa e Eurásia;Suécia;308,613681;2012
Europa e Eurásia;Suíça;238,003385;2012
Europa e Eurásia;Turcomenistão;129,389208;2012
Europa e Eurásia;Turquia;703,598525;2012
Europa e Eurásia;Ucrânia;267,411322;2012
Europa e Eurásia;Uzbequistão;63,489454;2012
Europa e Eurásia;Outros;374,325398;2012
Oriente Médio;Arábia Saudita;3459,874229;2012
Oriente Médio;Catar;257,296822;2012
Oriente Médio;Coveite;490,472156;2012
Oriente Médio;Emirados Árabes Unidos;773,282662;2012
Oriente Médio;Irã;1882,371131;2012
Oriente Médio;Iraque;665,760972;2012
Oriente Médio;Israel;294,857323;2012
Oriente Médio;Omã;157,328634;2012
Oriente Médio;Outros;650,07528;2012
África;África do Sul;551,913162;2012
África;África Central;223,748638;2012
África;África Ocidental;566,85827;2012
África;África Oriental;456,792993;2012
África;Argélia;369,840738;2012
África;Egito;746,942737;2012
África;Marrocos;276,828377;2012
África;Outros Norte da África;330,463602;2012
África;Outros Sul da África;50,350598;2012
Ásia-Pacífico;Austrália;1024,931193;2012
Ásia-Pacífico;Bangladesh;109,765858;2012
